Date,Ca Mau Mobilized (mn kWh),Nhon Trach 1 Mobilized (mn kWh),Nhon Trach 2 (NT2) Mobilized (mn kWh),Hua Na Mobilized (mn kWh),Dak Drinh Mobilized (mn kWh),Vung Ang Mobilized (mn kWh),POW Mobilized (mn kWh),Ca Mau Contracted (mn kWh),Nhon Trach 1 Contracted (mn kWh),Nhon Trach 2 (NT2) Contracted (mn kWh),Hua Na Contracted (mn kWh),Dak Drinh Contracted (mn kWh),Vung Ang Contracted (mn kWh),POW Contracted (mw kWh),Ca Mau Revenue (VNDbn),Nhon Trach 1 Revenue (VNDbn),Nhon Trach 2 (NT2) Revenue (VNDbn),Hua Na Revenue (VNDbn),Dak Drinh Revenue (VNDbn),Vung Ang Revenue (VNDbn),Ca Mau ASP (VND/kWh),Nhon Trach 1 ASP (VND/kWh),Nhon Trach 2 (NT2) ASP (VND/kWh),Hua Na ASP (VND/kWh),Dak Drinh ASP (VND/kWh),Vung Ang ASP (VND/kWh)
2022-12-31,494.0,244.5,371.4500000000003,38.60000000000002,90.60000000000002,401.8000000000002,1640.9500000000003,515.0,264.0,390.0,29.0,77.0,489.0,1249.0,273.10000000000036,482.1999999999998,730.1200000000008,50.0,26.100000000000023,161.94999999999982,552.8340080971668,1972.188139059304,1965.5942926369642,1295.3367875647662,288.07947019867566,403.0612244897953
2023-01-31,437.6,59.7,304.9,37.8,81.0,187.7,1108.7,472.2,19.7,305.4,24.4,76.2,169.9,595.5999999999999,783.4,115.1,662.1,49.1,66.6,375.0,1790.219378427788,1927.9731993299831,2171.53164972122,1298.941798941799,822.2222222222222,1997.8689397975493
2023-02-28,443.3,188.5,355.4,69.9,54.5,353.0,1464.6,303.0,18.8,346.3,54.9,40.6,267.7,728.3,794.0,369.5,707.1,84.9,60.8,757.3,1791.1121136927588,1960.212201591512,1989.589195272932,1214.5922746781114,1115.596330275229,2145.325779036827
2023-03-31,522.3,14.100000000000023,414.5,18.0,67.5,392.4,1428.8000000000002,461.70000000000005,23.700000000000003,389.0,12.799999999999997,16.19999999999999,387.79999999999995,829.5,963.7999999999997,32.39999999999998,813.7,62.400000000000006,92.8,678.3,1845.2996362243919,2297.872340425527,1963.0880579010857,3466.666666666667,1374.8148148148148,1728.5932721712538
2023-04-30,512.5,36.4,358.3,29.4,38.6,393.1,1368.3000000000002,459.9,23.9,377.6,38.6,31.6,383.1,854.8000000000001,942.0,79.3,717.9,26.5,41.2,762.2,1838.048780487805,2178.5714285714284,2003.6282444878593,901.3605442176871,1067.3575129533679,1938.946832866955
2023-05-31,605.8,190.6,336.5,28.7,30.9,403.4,1595.9,288.1,18.8,352.7,17.6,36.5,393.4,819.0,1233.4,524.5,728.1,40.5,18.4,758.8,2035.9854737537141,2751.8363064008395,2163.744427934621,1411.1498257839721,595.4692556634304,1881.011403073872
2023-06-30,576.9000000000001,0.0,359.0999999999999,22.50000000000003,37.69999999999999,377.4000000000001,1373.6000000000001,475.9,25.6,358.9999999999998,32.0,36.5,367.0,820.0999999999998,845.3999999999996,82.20000000000005,736.7000000000003,22.0,31.200000000000045,679.3999999999996,1465.418616744669,,2051.5176830966316,977.7777777777766,827.5862068965531,1800.2119766825635
2023-07-31,463.4,24.7,340.6,39.4,38.8,358.3,1265.2,422.3,25.1,366.4,75.4,37.3,348.3,852.5,834.0,53.0,693.1,26.6,31.6,661.8,1799.7410444540353,2145.748987854251,2034.9383440986494,675.1269035532995,814.4329896907218,1847.0555400502371
2023-08-31,178.2,20.3,19.4,57.8,41.0,294.7,611.4,320.4,24.6,44.5,101.0,33.7,339.7,543.5,481.8,54.1,78.7,83.6,40.4,569.3,2703.703703703704,2665.024630541872,4056.7010309278357,1446.3667820069204,985.3658536585366,1931.7950458092976
2023-09-30,373.5,28.40000000000009,5.0,95.10000000000002,49.69999999999999,376.5,928.2,397.9,206.9,20.1,107.3,41.2,507.5,883.0,761.9,297.4,35.4,110.9,53.2,801.7,2039.8929049531457,10471.830985915458,7080.0,1166.1409043112512,1070.422535211268,2129.3492695883133
